population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
271857970,1.92096800566845,17.2714213388682,15.7041742336216,7.1,3900,19175077747.8077,38.2516051688632,13.7024660064027,360
87290193,30.5941390387295,19.4246089315582,24.3855556612928,5.6,3290,1342000000,36.1405561421958,12.2129981052409,364
42556984,0.574162679425838,27.2218072972819,29.4330742448105,5.6,4720,-3146600000,41.2586384237154,5.97488228338059,368
4985382,-0.334584625428444,133.337202322551,114.428561007685,5.6,65330,32451687292.8702,37.5044902067327,0.931203344935232,372
9215100,-0.588430300016595,27.6756854779656,23.2076915737833,5.6,43310,24283200000,18.1404458065216,1.31645049038765,376
59438851,-0.13770757391657,29.4432373327238,25.8430488731507,5.6,32410,-22090942205.122,21.5439774532594,2.00892870584469,380
2820436,5.22677779293517,24.0851387595275,41.7746274749254,5.6,4900,265100553.561347,20.3912395369836,8.6832359903362,388
126261000,-0.0249958340276592,15.5585542763298,15.8001573523187,5.6,40810,61514924437.9407,29.0168416037449,1.04427085559301,392
10928721,0.33329435062843,23.63925508854,41.7001496512306,5.6,4070,760281690.140845,23.3908348788392,4.69703811006178,400
18755666,6.74900183815967,30.5289067989681,26.4975355671251,5.6,8710,7194335724.29,33.0977971542858,5.3912826934481,398
51985780,5.40481467184518,9.63953268531996,17.5943665352312,5.6,1900,426305189.425793,17.4044520575429,22.6210088545818,404
126463,1.92096800566845,12.7229223647022,83.0108451288216,5.6,2740,2624092.83886645,9.78945005953219,26.1760174678469,296
25867467,1.92096800566845,30.5289067989681,39.3637003432345,5.6,5775.0,6338705.6,23.2514238269639,7.4728799267029,408
51836239,0.537288023411772,36.359590549146,32.6744545418102,5.6,33040,8764900000,32.5381602000323,1.76572048133322,410
4360444,2.1017295482741,30.5289067989681,39.3637003432345,5.6,5775.0,-558055522.567383,45.4263566418396,0.457473273068322,414
6579900,6.32542296338083,31.3070363362618,52.1642756151629,9.4,1180,-401518600,29.2020392133665,13.5743343984907,417
7319399,5.10407262959903,30.5289067989681,39.3637003432345,5.6,2470,967706086.202045,32.4163678323352,16.3377623592616,418
1900449,0.219064904842049,59.8993432537649,58.931720739175,5.6,18240,944114980.056192,19.5078867810489,4.33640010767793,428
5662923,84.8643330472041,16.3725868675626,33.7572174204001,5.6,6400,2860766073.63374,6.63816639544826,3.07825000560689,422
